LLAVEHOG,ORDEN,AÑOS_CUMPLIDOS,HIJOS,CANT_PERSONAS,VIVE_PADRES,NIVEL_EDUCACION_MADRE,AFILIADO_SS,ESTADO_SALUD,DISCAPACIDAD,LEER_ESCRIBIR,NIVEL_EDUCATIVO,SALARIO,ACTIVIDAD,TELEFONO,TIPO_VIVIENDA,SUBSIDIO,SEGURIDAD,CONDICIONES_VIDA,POBRE,INGRESO_HOGAR,COMIDA,AGUA_ALIMENTOS,AGUA24H,VIVIENDA,SATISFACCCION_INGRESO,SATISFACCION_SALUD,SATISFACCION_SEGURIDAD,SATISFACCION_TRABAJO,SATISFACCION_VIDA
60006411,1,59,2,4,4,9,1,2,NO,1,,,1,1,1,NO,2,2,2,2,2,1,1,1,8,9,5,8,10
60006621,5,23,1,6,4,4,1,1,NO,1,,500000,1,1,2,NO,2,2,1,2,2,1,1,3,5,10,10,5,10
60006661,7,40,1,8,3,,1,3,NO,1,,,4,2,1,SI,1,3,1,1,1,1,1,1,3,7,8,3,10
60006841,2,54,1,4,1,9,1,2,NO,1,,450000,1,1,1,SI,1,3,2,1,2,1,1,1,8,8,10,9,8
60006921,1,32,3,4,4,1,1,1,NO,1,,,4,1,3,SI,1,3,2,1,2,1,1,4,3,8,8,10,10
60006951,1,81,1,2,4,10,1,2,NO,2,,,4,2,1,SI,1,1,2,2,2,1,1,1,5,8,6,5,8
60006961,1,36,2,3,4,10,1,2,NO,1,,600000,1,1,2,NO,1,2,1,2,2,1,1,3,5,10,10,6,8
60007051,1,37,1,2,4,1,1,2,NO,1,,500000,1,1,1,NO,1,2,2,2,2,1,1,3,10,10,10,10,10
60007201,1,42,1,2,4,1,1,1,NO,1,,,2,1,2,NO,1,3,1,1,2,1,1,3,8,10,10,8,9
60007281,1,33,1,2,4,1,1,2,NO,1,,737717,1,1,2,SI,1,2,2,2,2,1,1,3,7,10,10,10,10
60007351,3,31,2,5,3,,1,2,NO,1,,,4,1,1,SI,1,2,1,2,2,1,1,1,9,10,10,10,10
60007841,4,22,2,6,4,4,1,2,NO,1,,,4,2,1,SI,1,3,2,1,2,1,1,3,9,9,9,0,8
60008231,5,15,1,8,2,,1,2,NO,1,,,4,2,1,NO,1,2,2,1,2,5,,4,6,6,7,6,6
60008251,2,18,1,3,4,8,1,2,NO,1,,,4,1,2,NO,1,2,2,1,2,5,,3,7,8,8,8,8
60008301,3,26,1,4,3,,1,1,NO,1,,800000,1,1,1,NO,1,1,2,2,2,1,1,1,9,9,9,9,9
60008591,1,66,1,4,4,1,1,3,SI,1,,,4,1,2,NO,1,3,2,2,2,1,1,6,5,8,7,6,8
60008641,1,53,1,3,4,1,1,2,NO,1,,,4,1,2,NO,1,2,2,2,2,1,1,3,9,8,8,4,8
60008641,2,26,1,3,2,,1,2,NO,1,,757000,1,1,2,NO,1,2,2,2,2,1,1,3,6,9,7,7,10
60009121,6,30,1,7,4,2,1,3,NO,1,,700000,1,1,1,NO,1,2,2,2,2,1,2,5,5,7,5,8,10
60009231,3,53,2,8,1,10,1,2,NO,2,,600000,1,1,1,SI,1,2,1,2,2,1,1,1,8,7,6,7,10
60009241,1,31,1,2,4,10,1,2,NO,1,,,4,1,1,SI,1,2,1,1,2,1,2,3,0,5,5,0,10
60009341,4,21,1,5,3,,1,2,NO,1,,,4,1,1,NO,1,2,1,1,2,2,1,1,9,10,9,0,10
60009941,1,78,1,2,4,9,1,3,NO,1,,,6,1,2,NO,1,2,2,2,2,1,1,1,9,5,6,7,7
60010461,1,27,1,2,4,1,1,2,NO,1,,,1,1,2,NO,1,2,1,2,2,1,1,3,5,10,7,8,10
60010501,1,34,1,2,4,2,1,2,NO,1,,2300000,1,1,2,NO,1,2,2,2,2,1,1,2,6,9,3,6,10
60010761,1,38,3,6,2,,1,2,NO,1,,,1,1,1,SI,1,2,1,1,2,1,1,3,9,3,3,0,7
60010871,1,35,2,3,4,2,1,2,NO,1,,,1,1,2,NO,2,3,1,1,2,1,1,3,7,10,8,4,9
60010881,1,25,2,3,4,2,1,2,NO,1,,1100000,1,1,2,SI,1,2,2,1,2,1,1,3,10,10,8,8,9
60010891,1,47,2,5,4,3,1,2,NO,1,,,4,1,2,NO,2,2,1,2,2,1,2,2,9,5,2,0,10
60010921,1,63,1,3,4,2,1,1,NO,1,,2500000,1,1,1,NO,2,2,2,3,2,1,2,3,6,8,7,7,10
60011021,1,48,1,2,4,1,1,3,NO,1,,,2,1,1,SI,1,3,1,1,1,6,,5,9,5,5,5,8
60011091,1,33,1,2,4,2,1,2,NO,1,,740000,6,1,3,SI,1,2,2,2,2,1,1,3,7,8,8,10,10
60011261,2,37,3,8,2,,1,3,NO,1,,,1,1,2,NO,1,2,1,2,1,1,1,4,7,7,6,10,10
60011541,3,32,2,5,2,,1,2,NO,1,,,1,1,1,SI,1,2,2,2,2,1,1,4,8,8,8,8,10
60011671,1,21,1,2,4,4,1,2,NO,1,,,2,1,1,NO,2,3,2,1,2,1,2,4,0,10,5,5,8
60011711,4,19,1,5,2,,1,2,NO,1,,,4,2,1,NO,2,3,1,2,2,1,2,3,4,8,8,0,8
60011771,1,27,1,2,4,3,1,2,NO,1,,650000,1,1,1,NO,1,2,1,2,2,1,2,3,5,8,10,0,9
60011891,1,26,2,3,4,6,1,2,NO,1,,750000,1,1,1,NO,1,2,1,2,2,1,2,3,7,8,8,9,10
60012361,3,41,1,4,2,,1,2,NO,1,,2000000,1,1,2,NO,2,2,2,2,2,1,1,1,7,7,6,7,9
60012421,6,19,1,7,2,,1,2,NO,1,,,4,1,1,NO,1,2,1,1,2,1,2,1,8,8,8,8,9
60012571,1,22,1,2,4,4,1,2,NO,1,,,6,1,1,NO,1,2,1,2,1,5,,1,7,10,5,10,10
60013301,1,34,2,3,4,1,1,3,NO,1,,,1,1,1,NO,2,3,1,1,2,7,,3,3,7,6,5,10
60013461,3,25,1,5,3,,1,1,NO,1,,1000000,1,1,1,NO,1,2,1,2,2,3,,1,10,10,5,10,10
60013471,3,23,2,5,4,10,2,1,NO,1,,,1,1,1,NO,1,2,2,2,2,3,,1,2,10,10,0,9
60013491,1,55,2,3,4,9,1,2,NO,1,,737800,1,1,1,NO,1,3,2,1,2,1,2,1,3,5,1,10,7
60013551,2,63,1,2,4,1,1,3,NO,1,,,4,2,2,NO,2,2,2,2,2,1,2,4,9,8,7,9,8
60013571,1,37,1,3,4,4,1,2,NO,1,,,1,1,1,NO,1,2,2,2,2,1,1,3,10,10,10,10,10
60013701,1,42,3,5,4,1,1,3,NO,1,,,2,1,2,NO,2,2,2,1,2,1,1,3,2,4,5,2,10
60013701,4,19,1,5,2,,1,2,NO,1,,,2,1,2,NO,2,2,2,1,2,1,1,3,4,8,6,3,10
60013771,6,30,1,7,1,4,1,2,NO,1,,300000,1,1,1,NO,1,2,2,1,2,1,2,4,0,7,8,2,8
60013841,1,22,1,2,4,4,1,2,NO,1,,,4,1,2,NO,1,2,1,2,2,1,2,3,9,10,10,0,10
60014011,1,29,1,2,4,3,1,2,NO,1,,560000,1,1,2,NO,1,2,1,1,2,1,1,3,8,10,10,8,10
60014681,1,29,2,3,4,9,1,2,NO,1,,200000,1,1,2,NO,1,3,2,1,1,1,1,3,7,8,8,8,9
60014801,1,26,1,2,4,4,1,2,NO,1,,180000,1,1,2,NO,1,3,1,1,1,1,1,4,9,8,8,0,10
60015271,3,38,1,6,3,,1,2,NO,1,,2000000,1,1,1,NO,2,1,2,2,2,1,1,1,9,8,3,8,10
60015901,4,39,1,6,2,,1,2,NO,1,,0,1,1,2,NO,1,2,2,2,2,1,1,1,10,10,10,9,9
60016101,3,34,2,5,3,,1,2,NO,1,,,4,1,2,NO,1,2,2,1,2,1,1,1,8,9,8,8,9
60016921,2,24,1,3,1,1,1,3,NO,1,,,4,1,1,SI,1,2,1,1,2,2,2,1,9,10,4,9,10
60017991,1,70,2,4,4,2,1,3,NO,1,,,4,2,3,NO,1,3,1,1,2,10,,3,10,7,10,6,10
60018231,1,49,1,2,4,1,1,2,NO,1,,,1,1,2,NO,1,2,2,1,2,1,1,2,5,7,8,5,9
60018301,1,60,2,3,4,9,1,2,NO,1,,,4,1,2,NO,1,2,2,2,2,1,1,3,9,9,8,8,10
60018421,1,44,3,5,4,1,1,3,NO,1,,,1,1,2,NO,1,2,2,1,2,1,1,3,8,6,4,9,7
60018591,1,31,2,3,4,1,2,2,NO,1,,,1,1,1,NO,1,2,2,2,2,1,2,3,9,10,10,10,10
60018631,2,38,1,4,2,,1,3,SI,1,,,6,1,1,NO,2,2,2,1,2,1,1,1,6,5,4,3,8
60018641,1,39,1,2,4,4,1,2,NO,1,,,1,1,2,NO,1,1,1,1,2,1,1,3,7,8,10,10,10
60018651,1,67,2,3,4,2,1,3,NO,1,,,4,1,2,NO,1,3,2,2,2,1,1,1,6,5,6,10,10
60018731,1,64,1,3,2,,1,1,NO,1,,,4,1,2,NO,1,1,2,1,2,1,1,1,2,10,3,9,7
60018881,4,41,2,6,3,,1,2,NO,1,,737000,1,1,1,NO,2,2,2,2,2,1,1,1,8,8,3,7,10
60019291,1,44,1,3,4,1,1,2,NO,1,,737500,1,1,1,NO,1,2,2,2,2,1,1,2,5,9,9,4,10
60020211,1,41,1,4,4,1,1,3,NO,1,,,1,2,1,NO,1,2,2,2,2,1,1,6,5,7,6,7,8
60020221,1,35,4,5,4,2,2,2,NO,1,,,2,2,1,NO,1,3,2,1,2,2,2,5,9,10,10,10,8
60020271,3,23,1,7,3,,2,2,NO,1,,,2,1,2,NO,2,2,1,1,1,2,2,3,9,10,6,7,10
60020341,1,51,1,4,4,2,1,3,NO,1,,,1,1,1,NO,1,2,1,1,2,1,1,3,8,8,7,8,10
60020861,1,48,2,5,4,1,1,3,NO,2,,,2,1,1,NO,2,3,1,2,2,1,2,1,8,7,5,5,9
60020861,2,26,1,5,2,,1,2,SI,1,,,4,2,1,NO,2,3,1,2,2,1,2,1,10,9,5,8,7
60020861,4,20,1,5,2,,1,2,NO,1,,,1,1,1,NO,2,3,1,2,2,1,2,1,8,10,0,9,8
60020871,4,35,1,5,4,3,1,2,NO,1,,1000000,1,1,1,NO,1,2,1,2,2,1,2,1,8,8,8,10,10
60020881,4,21,1,5,2,,1,2,NO,1,,650000,1,1,2,NO,1,2,2,2,2,1,2,3,9,10,7,9,10
60020891,4,17,1,5,4,3,1,2,NO,1,,,6,2,1,NO,1,4,1,1,2,1,2,4,6,9,9,8,7
60020921,4,36,1,5,3,,1,2,NO,1,,1400000,1,1,2,NO,1,2,1,1,2,1,2,5,9,10,8,8,9
60021601,1,47,3,5,2,,1,3,NO,1,,,4,2,1,SI,1,2,2,2,2,1,1,1,0,1,5,5,10
60021641,1,54,1,3,4,4,1,2,NO,1,,2500000,1,1,1,NO,1,2,2,2,2,1,1,1,5,10,7,7,10
